source_id	subjects_num	sessions_num	sessions_min	sessions_max	bold_num	t1w_num	t2w_num	bold_size	t1w_size	bold_size_max	bold_duration_total	bold_duration_mean	bold_voxels_total	bold_voxels_mean	datatypes
ds006185	12	96	8	8	768	48	14	609248326302	854800640	793292091	407424.9686050415	530.5012612044811	633320488	824636.0520833334	anat,fmap,func
ds006131	12	106	4	12	720	36	22	507769794516	491439360	705235825	382700.5280828476	531.5285112261772	627264000	871200.0	anat,dwi,fmap,func,perf
